,TAKER_STANDARD,MAKER_VIP,ZERO_FEE
2020-01-16 08:00:00,1009.3224889807159,1011.5844610730437,1012.4676613713395
2020-01-16 12:00:00,1008.6375106067858,1010.8956853837685,1011.7774029808509
2020-01-16 16:00:00,1008.4065776694367,1010.6634722232473,1011.5446899438962
2020-01-16 20:00:00,1009.0970763526261,1011.3577988247262,1012.240511195826
2020-01-17 00:00:00,1012.1525675276719,1014.4302287294715,1015.3195550034995
2020-01-17 04:00:00,1018.9388677104898,1021.2541501318808,1022.1581660018132
2020-01-17 08:00:00,1017.5357891070737,1019.8432932801082,1020.744272052189
2020-01-17 12:00:00,1015.1151334968522,1017.4092182787879,1018.3049573102471
2020-01-17 16:00:00,1016.4436879252671,1018.7451378158105,1019.6437526304157
2020-01-17 20:00:00,1017.9879944405682,1020.2980055047942,1021.1999631185761
2020-01-18 00:00:00,1018.5726871962868,1020.8859396223689,1021.7891628595505
2020-01-18 04:00:00,1014.7839149412916,1017.0761635465661,1017.9711856237784
2020-01-18 08:00:00,1016.4473681314402,1018.7488384239464,1019.64746120471
2020-01-18 12:00:00,1017.5270486174131,1019.8345043357857,1020.7354641882405
2020-01-18 16:00:00,1017.7418806527559,1020.0505273357128,1020.9519522126584
2020-01-18 20:00:00,1018.1112813473601,1020.4219758773434,1021.3242003574283
2020-01-19 00:00:00,1028.7621883621684,1031.140376424623,1032.0689149523885
2020-01-19 04:00:00,1026.4034062182286,1028.7685178975855,1029.691950615766
2020-01-19 08:00:00,1012.7738455426811,1014.575006349279,1015.2776660310572
2020-01-19 12:00:00,1012.7738455426811,1014.575006349279,1015.2776660310572
2020-01-19 16:00:00,1012.7738455426811,1014.575006349279,1015.2776660310572
2020-01-19 20:00:00,1012.7738455426811,1014.575006349279,1015.2776660310572
2020-01-20 00:00:00,1012.7738455426811,1014.575006349279,1015.2776660310572
2020-01-20 04:00:00,1012.7738455426811,1014.575006349279,1015.2776660310572
2020-01-20 08:00:00,1012.7738455426811,1014.575006349279,1015.2776660310572
2020-01-20 12:00:00,1012.7738455426811,1014.575006349279,1015.2776660310572
2020-01-20 16:00:00,1012.7738455426811,1014.575006349279,1015.2776660310572
2020-01-20 20:00:00,1012.7738455426811,1014.575006349279,1015.2776660310572
2020-01-21 00:00:00,1012.7738455426811,1014.575006349279,1015.2776660310572
2020-01-21 04:00:00,1012.7738455426811,1014.575006349279,1015.2776660310572
2020-01-21 08:00:00,1012.7738455426811,1014.575006349279,1015.2776660310572
2020-01-21 12:00:00,1012.7738455426811,1014.575006349279,1015.2776660310572
2020-01-21 16:00:00,1012.7738455426811,1014.575006349279,1015.2776660310572
2020-01-21 20:00:00,1012.2688288527538,1014.4328568744174,1015.2776660310572
2020-01-22 00:00:00,1011.3318688708921,1013.4909617701535,1014.3338442946949
2020-01-22 04:00:00,1012.4649152457988,1014.6299760867608,1015.475188447749
2020-01-22 08:00:00,1008.7466732644722,1010.8921495130777,1011.729716206706
2020-01-22 12:00:00,1008.5385627058158,1010.6829428018641,1011.5200815663491
2020-01-22 16:00:00,1009.2331895038199,1011.3812283135148,1012.2197954103847
2020-01-22 20:00:00,1009.7867635898458,1011.9377181653431,1012.777423553734
2020-01-23 00:00:00,1005.8497742879758,1007.9799920929842,1008.8116020129381
2020-01-23 04:00:00,1005.133873966198,1007.2603210064094,1008.0904588501105
2020-01-23 08:00:00,997.7921959247105,999.8799731385959,1000.6950145930759
2020-01-23 12:00:00,994.8518249648505,996.9241147610489,997.7331100522113
2020-01-23 16:00:00,992.0158533309208,997.4615435569665,998.2716381505503
2020-01-23 20:00:00,992.0158533309208,999.020830911212,999.8341150033436
2020-01-24 00:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-24 04:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-24 08:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-24 12:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-24 16:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-24 20:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-25 00:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-25 04:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-25 08:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-25 12:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-25 16:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-25 20:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-26 00:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-26 04:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-26 08:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-26 12:00:00,992.0158533309208,994.1149392784611,994.9111100034088
2020-01-26 16:00:00,991.5362334354597,993.979805151233,994.9111100034088
2020-01-26 20:00:00,993.5914834105248,996.0479191354535,996.984127187264
2020-01-27 00:00:00,996.058678914361,998.5305570555091,999.4726510833516
2020-01-27 04:00:00,995.5173287575301,997.9858185354824,998.9266210669505
2020-01-27 08:00:00,998.9946863406141,1001.4849412373247,1002.4340396834689
2020-01-27 12:00:00,1000.9648606086503,1003.4674470174054,1004.4212456984934
2020-01-27 16:00:00,1007.7910666805167,1010.3363789758895,1011.3064629028229
2020-01-27 20:00:00,1006.6917989923281,1009.2302308645035,1010.1976922739852
2020-01-28 00:00:00,1016.1032171058482,1018.7075708767306,1019.7001853872428
2020-01-28 04:00:00,1013.8455317247424,1016.4357544236068,1017.4229827853438
2020-01-28 08:00:00,1015.1685485224166,1017.7670521118805,1018.757436788206
2020-01-28 12:00:00,1013.3647196499658,1015.9519328993681,1016.9380141901318
2020-01-28 16:00:00,1012.934684339279,1015.5192059559158,1016.5042613135795
2020-01-28 20:00:00,1024.3234110257258,1026.9792157885208,1027.9914411747482
2020-01-29 00:00:00,1023.3608465657265,1026.0106265441027,1027.0205555450896
2020-01-29 04:00:00,1024.0347357187707,1026.6887336347895,1027.700270329774
2020-01-29 08:00:00,1022.0961290157111,1024.7379930041395,1025.744904774763
2020-01-29 12:00:00,1021.5275546326309,1024.1658598587883,1025.1714151843362
2020-01-29 16:00:00,1024.9430756097113,1027.6027589133057,1028.6164626302466
2020-01-29 20:00:00,1022.0453522516212,1024.6868984233529,1025.693689056103
2020-01-30 00:00:00,1021.3799258925919,1024.0173070961307,1025.0225102245286
2020-01-30 04:00:00,1024.850298312362,1027.5094009138438,1028.5228832924481
2020-01-30 08:00:00,1023.1950384903962,1025.843780659929,1026.853314093416
2020-01-30 12:00:00,1024.720535470799,1027.3788258740556,1028.3919986780948
2020-01-30 16:00:00,1028.4798966343396,1031.161717244147,1032.1838587374002
2020-01-30 20:00:00,1028.6801827593606,1031.3632569794718,1032.3858762943366
2020-01-31 00:00:00,1026.510886560189,1029.1803829447545,1030.1978269804754
2020-01-31 04:00:00,1024.334381314264,1026.9902547411598,1028.0025062991501
2020-01-31 08:00:00,1022.7249476171702,1025.4887448015422,1026.5434906101646
2020-01-31 12:00:00,1023.213452618056,1025.9804436729428,1027.0364083559302
2020-01-31 16:00:00,1021.5585173089327,1024.314688312688,1025.3665237478262
2020-01-31 20:00:00,1023.8342799382912,1026.6053299937391,1027.6628437100107
2020-02-01 00:00:00,1027.4341720783996,1030.2287584115547,1031.2952542595117
2020-02-01 04:00:00,1027.0118282371884,1029.8036532648523,1030.8690953179037
2020-02-01 08:00:00,1023.9144890154311,1026.6860634819004,1027.7437773287497
2020-02-01 12:00:00,1022.9741848625201,1025.739611572665,1026.7949792559632
2020-02-01 16:00:00,1024.4777651899217,1027.2530223846377,1028.3121416682548
2020-02-01 20:00:00,1025.2716991060183,1028.052147081014,1029.1132473181449
2020-02-02 00:00:00,1019.9343967865071,1022.6799492077723,1023.7277322813845
2020-02-02 04:00:00,1024.6336517579225,1027.4099281469398,1028.4694363848998
2020-02-02 08:00:00,1027.5796359979583,1030.3751733816098,1031.4420321782418
2020-02-02 12:00:00,1028.0885331371,1030.8873977161022,1031.9555262677545
2020-02-02 16:00:00,1027.694738289447,1030.4910282177284,1031.5581742073923
2020-02-02 20:00:00,1022.865426791822,1025.630142436175,1026.6852387559784
2020-02-03 00:00:00,1025.3161086515533,1028.0968469784139,1029.1580580223053
2020-02-03 04:00:00,1024.526253163108,1027.301827374656,1028.361067641165
2020-02-03 08:00:00,1023.770384571756,1026.5410168760513,1027.5983711662695
2020-02-03 12:00:00,1020.0780480715543,1022.8245396922193,1023.8726811917813
2020-02-03 16:00:00,1022.1942988638889,1024.954626639752,1026.0080484206546
2020-02-03 20:00:00,1021.0858728600236,1023.8389536903591,1024.889609824975
2020-02-04 00:00:00,1020.6648884946964,1023.4152169078627,1024.4648226396166
2020-02-04 04:00:00,1020.4691239674396,1023.218172462181,1024.2672897396437
2020-02-04 08:00:00,1016.1269579948165,1018.8476171878219,1019.8859002777456
2020-02-04 12:00:00,1017.199131308449,1019.9268004250514,1020.9677587067636
2020-02-04 16:00:00,1016.2882824663521,1019.0099964069486,1020.0486820193898
2020-02-04 20:00:00,1016.7708964050751,1019.4957657001225,1020.535655488073
2020-02-05 00:00:00,1018.681866338967,1021.4192296525304,1022.4638875232248
2020-02-05 04:00:00,1020.283328929997,1023.031162687344,1024.079816385503
2020-02-05 08:00:00,1026.8065473787456,1029.5970302697274,1030.661960124182
2020-02-05 12:00:00,1029.824583840619,1032.634798807322,1033.7072589987638
2020-02-05 16:00:00,1037.56951795021,1040.4303696896088,1041.5221543539406
2020-02-05 20:00:00,1035.5778857805503,1038.4257161276375,1039.5125314479665
2020-02-06 00:00:00,1036.650059094183,1039.504899364867,1040.5943898769847
2020-02-06 04:00:00,1036.3373796409257,1039.1901755974586,1040.2788859395278
2020-02-06 08:00:00,1039.5135684639392,1042.3871305043656,1043.483765791171
2020-02-06 12:00:00,1043.5009112309097,1046.4005427209263,1047.5071268718684
2020-02-06 16:00:00,1041.7068562230183,1044.5947580902453,1045.6968658742005
2020-02-06 20:00:00,1042.8266111925814,1045.721834074689,1046.826735771962
2020-02-07 00:00:00,1043.1791686050944,1046.0766965254772,1047.1824778927464
2020-02-07 04:00:00,1044.1783833796335,1047.082444216978,1048.190718736358
2020-02-07 08:00:00,1044.5182523505653,1047.4245352685089,1048.5336577988107
2020-02-07 12:00:00,1044.1869933935639,1047.0911105236169,1048.19940652594
2020-02-07 16:00:00,1042.9892951400006,1045.885581658022,1046.990889269856
2020-02-07 20:00:00,1044.717642146845,1047.6252286854071,1048.7348487154497
2020-02-08 00:00:00,1040.2032758956166,1043.0813472782725,1044.179703461909
2020-02-08 04:00:00,1042.7989685162788,1045.6940106691645,1046.7988433948824
2020-02-08 08:00:00,1044.549520295891,1047.4560076452499,1048.5652081925564
2020-02-08 12:00:00,1045.4309138271738,1048.34316377222,1049.4545634945175
2020-02-08 16:00:00,1046.9363067890872,1049.858399069801,1050.9735549151424
2020-02-08 20:00:00,1048.4027281090002,1051.3344079268063,1052.4532226566057
2020-02-09 00:00:00,1055.5436017675888,1058.521968980172,1059.6586009847829
