entry_date,entry,mode,exit_date,exit,pnl_usd,return_pct,bars_held,tp1,adds,reason,asset
2019-12-22 20:00:00,7507.4412,TREND,2019-12-24 04:00:00,7259.1081,-29.7704,-3.3078,8,False,0,risk_cap,BTC
2019-12-29 16:00:00,7479.0284,TREND,2019-12-30 12:00:00,7256.2703,-26.0079,-2.9784,5,False,0,ema_exit,BTC
2020-01-05 00:00:00,7481.9708,TREND,2020-01-09 08:00:00,7871.8868,52.3501,6.1603,26,True,0,be_stop,BTC
2020-01-14 00:00:00,8468.6095,STRONG_BULL_TREND,2020-01-19 08:00:00,8653.5622,36.4603,3.8511,32,True,0,be_stop,BTC
2020-01-27 12:00:00,8786.6937,STRONG_BULL_TREND,2020-02-17 12:00:00,9486.0215,83.9462,6.2147,126,True,1,be_stop,BTC
2020-04-18 12:00:00,7249.1647,STRONG_BULL_TREND,2020-04-20 08:00:00,6960.9768,-42.1848,-3.9755,11,False,0,ema_exit,BTC
2020-04-23 12:00:00,7536.1241,STRONG_BULL_TREND,2020-05-10 00:00:00,8406.9568,85.0258,6.0624,99,True,1,be_stop,BTC
2020-05-28 12:00:00,9507.4098,STRONG_BULL_TREND,2020-06-02 12:00:00,9461.235,-2.8319,-0.1866,30,True,1,be_stop,BTC
2020-06-22 16:00:00,9571.1208,TREND,2020-06-24 08:00:00,9323.8549,-26.9012,-2.5835,10,False,0,risk_cap,BTC
2020-07-06 12:00:00,9312.464,TREND,2020-07-09 12:00:00,9201.2131,-12.1505,-1.1946,18,False,0,ema_exit,BTC
2020-07-22 20:00:00,9525.7745,TREND,2020-07-26 08:00:00,9748.3119,23.5051,2.3362,21,False,0,risk_cap,BTC
2020-07-27 00:00:00,10257.0391,STRONG_BULL_TREND,2020-08-02 04:00:00,10586.9553,38.4338,2.5662,37,True,1,be_stop,BTC
2020-08-10 00:00:00,12019.0075,STRONG_BULL_TREND,2020-08-11 16:00:00,11300.1864,-67.0365,-5.9807,10,False,0,risk_cap,BTC
2020-08-17 12:00:00,12431.4872,STRONG_BULL_TREND,2020-08-19 04:00:00,11732.401,-59.4516,-5.6235,10,False,0,risk_cap,BTC
2020-09-01 04:00:00,11933.279,STRONG_BULL_TREND,2020-09-02 08:00:00,11318.7628,-51.5329,-5.1496,7,False,0,risk_cap,BTC
2020-09-16 12:00:00,11013.794,TREND,2020-09-20 16:00:00,10731.2759,-23.129,-2.5651,25,False,0,risk_cap,BTC
2020-10-09 08:00:00,11059.2703,TREND,2020-10-10 00:00:00,11043.608,-1.2475,-0.1416,4,False,0,risk_cap,BTC
2020-10-12 12:00:00,11558.6195,STRONG_BULL_TREND,2020-12-09 00:00:00,18111.4985,527.1056,41.4433,345,True,1,be_stop,BTC
2020-12-13 08:00:00,19332.2634,STRONG_BULL_TREND,2021-01-20 08:00:00,34398.6291,1087.959,55.3102,228,True,1,be_stop,BTC
2021-01-29 08:00:00,37054.9403,STRONG_BULL_TREND,2021-01-31 16:00:00,32269.604,-200.8831,-12.9142,14,False,0,risk_cap,BTC
2021-02-06 00:00:00,39416.2478,STRONG_BULL_TREND,2021-02-23 08:00:00,45100.47,238.2363,11.0679,104,True,1,be_stop,BTC
2021-03-03 08:00:00,51707.6631,STRONG_BULL_TREND,2021-03-16 00:00:00,53540.4793,19.0922,0.8066,76,True,1,be_stop,BTC
2021-03-29 08:00:00,57900.6035,STRONG_BULL_TREND,2021-04-18 00:00:00,54970.4484,-149.2961,-4.3074,118,True,1,be_stop,BTC
2021-05-01 00:00:00,58225.2129,TREND,2021-05-04 00:00:00,54560.039,-141.616,-6.2948,18,False,0,risk_cap,BTC
2021-07-23 20:00:00,33660.9973,TREND,2021-07-26 00:00:00,36583.7392,184.2738,8.6829,13,False,0,risk_cap,BTC
2021-07-28 08:00:00,40783.4407,STRONG_BULL_TREND,2021-08-04 08:00:00,37690.2301,-115.6943,-7.5845,42,False,0,risk_cap,BTC
2021-08-06 12:00:00,42233.74,STRONG_BULL_TREND,2021-09-07 12:00:00,45403.5456,166.0707,5.2126,192,True,1,be_stop,BTC
2021-09-15 08:00:00,47598.7886,TREND,2021-09-19 08:00:00,47289.8678,-15.1443,-0.649,24,False,0,ema_exit,BTC
2021-10-01 08:00:00,47526.0705,TREND,2021-10-06 12:00:00,51353.4992,191.9015,8.2722,31,True,0,be_stop,BTC
2021-10-11 12:00:00,57536.1721,STRONG_BULL_TREND,2021-10-24 08:00:00,60153.0515,92.3676,2.5369,77,True,1,be_stop,BTC
2021-11-02 12:00:00,64069.945,STRONG_BULL_TREND,2021-11-06 08:00:00,60279.208,-160.8569,-5.9166,23,False,0,risk_cap,BTC
2021-11-08 00:00:00,65252.15,STRONG_BULL_TREND,2021-11-16 00:00:00,60858.6841,-172.7665,-6.7331,48,False,0,risk_cap,BTC
2022-02-04 16:00:00,40760.4923,TREND,2022-02-11 16:00:00,42128.8393,113.6284,4.9938,42,True,0,be_stop,BTC
2022-02-28 20:00:00,43194.528,TREND,2022-03-04 00:00:00,41416.78,-65.2382,-4.1157,19,False,0,risk_cap,BTC
2022-03-09 08:00:00,42185.3813,TREND,2022-03-10 04:00:00,39207.5089,-163.6954,-7.059,5,False,0,ema_exit,BTC
2022-03-18 16:00:00,42076.3542,TREND,2022-03-27 20:00:00,44805.0485,135.9869,6.262,55,True,0,be_stop,BTC
2022-03-28 00:00:00,47087.0395,STRONG_BULL_TREND,2022-04-01 00:00:00,44487.7042,-133.6715,-5.5203,24,False,0,risk_cap,BTC
2022-04-21 08:00:00,42473.952,TREND,2022-04-21 20:00:00,40377.3951,-107.2967,-4.9361,3,False,0,risk_cap,BTC
2022-07-18 04:00:00,22263.7267,TREND,2022-07-23 08:00:00,22209.748,-5.0361,-0.2425,31,False,0,risk_cap,BTC
2022-07-28 00:00:00,23151.9568,TREND,2022-08-01 08:00:00,23011.5813,-12.5667,-0.6063,26,False,0,risk_cap,BTC
2022-08-08 04:00:00,23826.7261,STRONG_BULL_TREND,2022-08-18 16:00:00,23326.2041,-45.7069,-2.1007,63,False,0,risk_cap,BTC
2022-09-09 12:00:00,21283.8034,TREND,2022-09-13 12:00:00,20813.1062,-44.6766,-2.2115,24,False,0,risk_cap,BTC
2022-10-04 20:00:00,20354.0903,TREND,2022-10-07 12:00:00,19561.9879,-77.0523,-3.8916,16,False,0,ema_exit,BTC
2022-10-14 00:00:00,19832.7035,TREND,2022-10-14 12:00:00,19343.1031,-47.1663,-2.4687,3,False,0,ema_exit,BTC
2022-10-23 20:00:00,19586.0563,TREND,2022-10-28 08:00:00,20047.3166,62.8856,3.3662,27,True,0,be_stop,BTC
2022-12-14 12:00:00,18076.2795,TREND,2022-12-14 20:00:00,17661.9752,-44.115,-2.292,2,False,0,risk_cap,BTC
2023-01-08 20:00:00,17141.5323,TREND,2023-01-12 16:00:00,18180.2598,100.7242,5.3433,23,True,0,be_stop,BTC
2023-01-13 12:00:00,19276.599,STRONG_BULL_TREND,2023-02-05 16:00:00,22829.1335,398.247,13.8543,139,True,1,be_stop,BTC
2023-02-15 08:00:00,22463.0861,STRONG_BULL_TREND,2023-02-24 16:00:00,22906.9751,60.8592,1.7984,56,True,1,be_stop,BTC
2023-03-13 12:00:00,24000.9054,TREND,2023-03-27 12:00:00,26882.0971,199.0123,12.4961,84,True,0,be_stop,BTC
2023-03-29 08:00:00,28376.6732,STRONG_BULL_TREND,2023-04-09 04:00:00,27880.6976,-47.3781,-1.7478,65,False,0,risk_cap,BTC
2023-04-10 16:00:00,29196.3984,STRONG_BULL_TREND,2023-04-17 08:00:00,29512.4822,38.8676,1.0652,40,True,1,be_stop,BTC
2023-04-26 08:00:00,28975.4819,TREND,2023-04-26 16:00:00,27861.9326,-98.3963,-3.8431,2,False,0,risk_cap,BTC
2023-05-28 20:00:00,28087.452,TREND,2023-05-31 04:00:00,27146.1657,-82.8366,-3.3513,14,False,0,risk_cap,BTC
2023-06-20 16:00:00,28005.1562,TREND,2023-06-26 00:00:00,29956.6537,173.0147,7.2172,32,True,0,be_stop,BTC
2023-07-13 16:00:00,31631.2948,STRONG_BULL_TREND,2023-07-14 16:00:00,30088.8415,-131.4074,-4.8764,6,False,0,risk_cap,BTC
2023-08-29 16:00:00,27853.5951,TREND,2023-08-31 12:00:00,26827.2339,-89.7145,-3.6848,11,False,0,risk_cap,BTC
2023-09-14 12:00:00,26715.3252,TREND,2023-09-21 12:00:00,26412.743,-26.6612,-1.1326,42,False,0,risk_cap,BTC
2023-09-28 16:00:00,27121.68,TREND,2023-10-01 20:00:00,27179.3901,4.9577,0.2128,19,False,0,risk_cap,BTC
2023-10-02 00:00:00,28149.0412,STRONG_BULL_TREND,2023-10-09 16:00:00,27260.2877,-77.7995,-3.1573,46,False,0,risk_cap,BTC
2023-10-16 04:00:00,27871.3392,STRONG_BULL_TREND,2023-10-16 12:00:00,27976.875,9.0506,0.3787,2,False,0,risk_cap,BTC
